,DateTime,Temp_C,SpCond_mscm,Cond_mscm,Depth_m,pH,pHmV,ORP,ODO_mgl,Chlorophyll_ugl,Chlorophyll_rfu,BGA_PC_cellsml,BGA_PC_rfu,Turbidity_ntu,YSI Datafile
0,10/9/13 12:44,15.59,0.133,0.109,-0.001,7.55,-63.2,-906,10.76,4.3,1,2915,1.4,2.8,MAIN2013.DAT
1,10/9/13 12:44,15.6,0.133,0.109,0.04,7.57,-64.7,-797,10.76,5,1.2,2704,1.3,2.9,MAIN2013.DAT
2,10/9/13 12:44,15.6,0.133,0.109,0.032,7.6,-66,-787,10.76,5.4,1.3,5388,2.6,2.8,MAIN2013.DAT
3,10/9/13 12:45,15.54,0.133,0.109,0.502,7.63,-68,-807,10.77,5.7,1.4,3280,1.6,2.7,MAIN2013.DAT
4,10/9/13 12:45,15.53,0.133,0.109,0.5,7.64,-68.6,-773,10.78,6.1,1.5,2975,1.4,2.8,MAIN2013.DAT
5,10/9/13 12:45,15.24,0.132,0.107,1,7.69,-71.2,-584,10.79,9.3,2.2,3613,1.7,3.8,MAIN2013.DAT
6,10/9/13 12:45,15.17,0.131,0.107,1,7.69,-71.4,-531,10.82,11.2,2.7,2968,1.4,3.6,MAIN2013.DAT
7,10/9/13 12:45,15.05,0.132,0.107,1.018,7.71,-72.3,-491,10.82,13.6,3.3,2618,1.3,3.3,MAIN2013.DAT
8,10/9/13 12:46,14.77,0.131,0.106,1.537,7.65,-68.9,-417,10.71,10.4,2.5,1700,0.8,3,MAIN2013.DAT
9,10/9/13 12:46,14.77,0.131,0.106,1.542,7.64,-68.5,-409,10.68,9.1,2.2,1636,0.8,3.1,MAIN2013.DAT
10,10/9/13 12:46,14.76,0.131,0.106,1.527,7.62,-67.4,-377,10.64,8,1.9,1655,0.8,3.2,MAIN2013.DAT
11,10/9/13 12:46,14.7,0.13,0.105,1.985,7.59,-65.8,-290,10.59,6.3,1.5,1458,0.7,3.2,MAIN2013.DAT
12,10/9/13 12:46,14.69,0.13,0.105,1.987,7.58,-65,-275,10.53,5.3,1.3,1435,0.7,3,MAIN2013.DAT
13,10/9/13 12:46,14.69,0.13,0.105,1.997,7.56,-63.8,-253,10.46,4.2,1,1027,0.5,3,MAIN2013.DAT
14,10/9/13 12:47,14.66,0.13,0.104,2.476,7.48,-59.3,-162,10.19,2.3,0.5,670,0.3,2.8,MAIN2013.DAT
15,10/9/13 12:47,14.66,0.13,0.105,2.497,7.47,-58.7,-149,10.16,1.8,0.4,562,0.3,3.1,MAIN2013.DAT
16,10/9/13 12:47,14.66,0.131,0.105,2.496,7.46,-57.8,-115,10.12,1.8,0.4,588,0.3,2.9,MAIN2013.DAT
17,10/9/13 12:47,14.66,0.13,0.104,2.502,7.44,-57,-90,10.09,2.1,0.5,595,0.3,2.8,MAIN2013.DAT
18,10/23/13 13:09,11.61,0.158,0.117,0.112,6.58,-8.3,2014,10.34,3.9,0.9,789,0.4,3.7,MAIN2013.DAT
19,10/23/13 13:10,11.61,0.158,0.117,0.093,6.65,-12.7,2035,10.33,3.8,0.9,773,0.4,4.2,MAIN2013.DAT
20,10/23/13 13:10,11.62,0.158,0.117,0.146,6.65,-12.9,2121,10.31,3.4,0.8,703,0.3,3.7,MAIN2013.DAT
21,10/23/13 13:10,11.61,0.158,0.117,0.521,6.69,-14.6,2146,10.3,3.9,0.9,736,0.4,3.5,MAIN2013.DAT
22,10/23/13 13:10,11.6,0.157,0.117,0.523,6.69,-14.9,2152,10.28,3.6,0.9,952,0.5,3.7,MAIN2013.DAT
23,10/23/13 13:10,11.61,0.158,0.117,0.527,6.7,-15.5,2136,10.29,3.8,0.9,1895,0.9,3.6,MAIN2013.DAT
24,10/23/13 13:11,11.61,0.157,0.117,1.002,6.74,-17.6,2094,10.27,3.5,0.8,1397,0.7,3.4,MAIN2013.DAT
25,10/23/13 13:11,11.61,0.157,0.117,1.007,6.75,-18.1,2064,10.25,3.5,0.8,1093,0.5,3.4,MAIN2013.DAT
26,10/23/13 13:11,11.61,0.157,0.117,1.006,6.76,-18.7,2045,10.26,3.4,0.8,1298,0.6,3.4,MAIN2013.DAT
27,10/23/13 13:11,11.6,0.157,0.117,1.515,6.79,-20.5,2025,10.23,3.2,0.8,1085,0.5,5.1,MAIN2013.DAT
28,10/23/13 13:11,11.6,0.157,0.117,1.511,6.79,-20.9,2016,10.23,3.1,0.7,1144,0.5,4.7,MAIN2013.DAT
29,10/23/13 13:11,11.6,0.157,0.117,1.503,6.78,-20.2,2003,10.23,3.4,0.8,1025,0.5,4.4,MAIN2013.DAT
30,10/23/13 13:12,11.58,0.157,0.117,2.014,6.82,-22.5,1975,10.22,3.8,0.9,854,0.4,3.7,MAIN2013.DAT
31,10/23/13 13:12,11.58,0.157,0.117,2.022,6.82,-22.6,1978,10.22,3.6,0.9,796,0.4,3.7,MAIN2013.DAT
32,10/23/13 13:12,11.58,0.157,0.117,2.023,6.83,-22.7,1959,10.23,3.6,0.9,876,0.4,3.6,MAIN2013.DAT
33,10/23/13 13:12,11.58,0.157,0.117,2.509,6.85,-24,1950,10.2,3,0.7,884,0.4,3.5,MAIN2013.DAT
34,10/23/13 13:12,11.58,0.157,0.117,2.519,6.85,-24.1,1938,10.21,2.9,0.7,910,0.4,3.4,MAIN2013.DAT
35,10/23/13 13:12,11.58,0.157,0.116,2.512,6.85,-24.4,1925,10.21,3,0.7,778,0.4,3.4,MAIN2013.DAT
36,10/29/13 9:53,6.6,0.145,0.094,0.048,7.39,-54.8,1096,11.84,2.6,0.6,425,0.2,4.5,MAIN2013.DAT
37,10/29/13 9:53,6.6,0.145,0.094,0.06,7.36,-53.1,1360,11.83,2.7,0.6,717,0.3,4.5,MAIN2013.DAT
38,10/29/13 9:53,6.6,0.145,0.094,0.04,7.38,-54.2,1371,11.82,2.5,0.6,617,0.3,4.5,MAIN2013.DAT
39,10/29/13 9:53,6.6,0.145,0.094,0.461,7.34,-51.8,1522,11.79,2.5,0.6,693,0.3,4.7,MAIN2013.DAT
40,10/29/13 9:53,6.6,0.145,0.094,0.522,7.33,-51.3,1581,11.79,2.8,0.7,731,0.4,4.5,MAIN2013.DAT
41,10/29/13 9:53,6.59,0.145,0.094,0.506,7.33,-51.5,1636,11.75,3.2,0.8,649,0.3,4.7,MAIN2013.DAT
42,10/29/13 9:54,6.59,0.145,0.094,0.984,7.32,-50.6,1791,11.73,3.1,0.7,770,0.4,4.6,MAIN2013.DAT
43,10/29/13 9:54,6.58,0.145,0.094,1.011,7.31,-50.5,1816,11.72,2.8,0.7,769,0.4,4.7,MAIN2013.DAT
44,10/29/13 9:54,6.57,0.144,0.094,0.97,7.31,-50.4,1841,11.71,3.1,0.8,653,0.3,4.7,MAIN2013.DAT
45,10/29/13 9:54,6.6,0.145,0.094,1.468,7.3,-49.7,1926,11.69,3,0.7,811,0.4,4.7,MAIN2013.DAT
46,10/29/13 9:54,6.6,0.145,0.094,1.48,7.3,-49.5,1952,11.7,3.1,0.7,855,0.4,4.7,MAIN2013.DAT
47,10/29/13 9:54,6.6,0.145,0.094,1.462,7.3,-49.4,1985,11.69,3.3,0.8,1045,0.5,4.6,MAIN2013.DAT
48,10/29/13 9:55,6.59,0.145,0.094,2.006,7.29,-49.1,2103,11.72,3.2,0.8,873,0.4,4.6,MAIN2013.DAT
49,10/29/13 9:55,6.59,0.145,0.094,1.998,7.29,-48.9,2124,11.73,2.5,0.6,836,0.4,4.6,MAIN2013.DAT
50,10/29/13 9:55,6.59,0.145,0.094,2.005,7.29,-48.9,2142,11.73,2.7,0.6,735,0.4,4.6,MAIN2013.DAT
51,10/29/13 9:55,6.58,0.145,0.094,2.482,7.28,-48.6,2185,11.75,3.2,0.8,692,0.3,4.6,MAIN2013.DAT
