Lab ID/Bottle ID,Filtered ID,Site ID/site Name,Depth or BLANK,depth_cat,Date Collected,Date/Time Sampled,Date Received at JSC,Digested,SRP,NO3,NH4,TN,TP,TDN,TDP,Notes ,SRP Corrected and zeroed ,Corrected,Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,SRP!$B$2:$S$7000,TP Corrected and Zeroed ,TP Corrected, TP Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,4%,TPandTDP!$B$2:$S7000,TDP,TDP Corrected, TDP Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,TPandTDP!$B$2:$S7000,Nox Corrected and zeroed ,Nox Corrected,Nox Raw Data,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,8%,Nox!$B$2:$S$7000,NH4 Corrected and Zeroed ,NH4 Corrected,NH4 Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,16%,NH4!$B$2:$S$7000,TN Corrected and Zeroed ,TN Corrected,TN Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,28%,TNandTDN!$B$2:$S$7000,TDN Corrected and Zeroed ,TDN Corrected,TDN Raw Data ,Units ,Run MDL ,Correction Factor ,Time/Date of run ,Tray Name ,#DIV/0!,TNandTDN!$B$2:$S$7000
LG14-001,LG14-001-F,Mississquoi Bay,below ice,D1,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B2,#REF!,0.041221468,0.041221468,0.0509,mg P/L,0.012389817,-0.009019124,Fri Aug 22 11:56:31 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A2,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B2,#N/A,0.571560453,0.571560453,0.546,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:21:41 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B2,OK,0.069488837,0.069488837,0.1035,mg N/L,0.021564419,-0.018897157,Fri Sep 12 11:51:28 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B2,OK,0.83128086,0.83128086,0.8227,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:34:43 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A2,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B2,#N/A
LG14-002,LG14-002-F,Mississquoi Bay,below ice,D1,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B3,#REF!,0.042702036,0.042702036,0.0524,mg P/L,0.012389817,-0.009019124,Fri Aug 22 11:57:51 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A3,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B3,#N/A,0.567078618,0.567078618,0.5417,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:23:49 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B3,OK,0.071196779,0.071196779,0.1055,mg N/L,0.021564419,-0.018897157,Fri Sep 12 11:53:30 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B3,OK,0.843581179,0.843581179,0.8348,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:36:51 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A3,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B3,#N/A
LG14-003,LG14-003-F,Mississquoi Bay,1 m,D2,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B4,#REF!,0.04082665,0.04082665,0.0505,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:00:31 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A4,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B4,#N/A,0.582817153,0.582817153,0.5568,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:28:06 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B4,OK,0.078113944,0.078113944,0.1136,mg N/L,0.021564419,-0.018897157,Fri Sep 12 11:57:35 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B4,OK,0.863099042,0.863099042,0.854,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:41:07 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A4,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B4,#N/A
LG14-004,LG14-004-F,Mississquoi Bay,1 m,D2,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B5,#REF!,0.039740901,0.039740901,0.0494,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:01:51 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A5,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B5,#N/A,0.506104824,0.506104824,0.4832,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:30:14 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B5,OK,0.066585336,0.066585336,0.1001,mg N/L,0.021564419,-0.018897157,Fri Sep 12 11:59:38 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B5,OK,0.883735115,0.883735115,0.8743,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:43:15 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A5,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B5,#N/A
LG14-005,LG14-005-F,Mississquoi Bay,1 m from bottom,D3,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B6,#REF!,0.022072795,0.022072795,0.0315,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:03:15 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A6,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B6,#N/A,0.568954735,0.568954735,0.5435,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:32:21 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B6,OK,0.061632305,0.061632305,0.0943,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:01:41 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B6,OK,1.014260819,1.014260819,1.0027,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:45:23 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A6,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B6,#N/A
LG14-006,LG14-006-F,Mississquoi Bay,1 m from bottom,D3,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B7,#REF!,0.024639112,0.024639112,0.0341,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:04:34 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A7,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B7,#N/A,0.595428827,0.595428827,0.5689,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:34:29 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B7,OK,0.054031963,0.054031963,0.0854,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:03:43 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B7,OK,1.017615452,1.017615452,1.006,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:47:30 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A7,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B7,#N/A
LG14-007,LG14-007-F,Mississquoi Bay,.5 m from bottom,D4,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B8,#REF!,0.025231339,0.025231339,0.0347,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:05:53 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A8,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B8,#N/A,0.484529482,0.484529482,0.4625,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:36:41 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B8,OK,0.077857753,0.077857753,0.1133,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:05:46 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B8,OK,0.788992158,0.788992158,0.7811,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:49:42 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A8,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B8,#N/A
LG14-008,LG14-008-F,Mississquoi Bay,.5 m from bottom,D4,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B9,#REF!,0.026415793,0.026415793,0.0359,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:08:32 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A9,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B9,#N/A,0.50078916,0.50078916,0.4781,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:40:56 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B9,OK,0.076235208,0.076235208,0.1114,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:09:54 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B9,OK,0.824266628,0.824266628,0.8158,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:53:56 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A9,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B9,#N/A
LG14-009,LG14-009-F,Mississquoi Bay,bottom,D5,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B10,#REF!,0.039247378,0.039247378,0.0489,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:09:51 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A10,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B10,#N/A,0.457951161,0.457951161,0.437,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:43:03 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B10,OK,0.089727949,0.089727949,0.1272,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:11:56 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B10,OK,0.881498693,0.881498693,0.8721,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:56:03 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A10,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B10,#N/A
LG14-010,LG14-010-F,Mississquoi Bay,bottom,D5,1/10/14,1/10/14,9/3/14,,,X,X,X,X,,,x,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B11,#REF!,0.040431832,0.040431832,0.0501,mg P/L,0.012389817,-0.009019124,Fri Aug 22 12:11:10 2014,14.08.21 (14-10)TP_LG14_1-76_1_sb.csv,A11,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B11,#N/A,0.463579512,0.463579512,0.4424,mg N/L,0.010858109,0.002471709,Fri Sep 12 16:45:10 2014,14.09.12 (15-25)Nox_LG14_1F-35F_1_sb.csv,B11,OK,0.085714286,0.085714286,0.1225,mg N/L,0.021564419,-0.018897157,Fri Sep 12 12:13:58 2014,14.09.12 (09-54)NH4_LG14_1F-35F_1_sb.csv,B11,OK,0.769270985,0.769270985,0.7617,mg N/L,0.023248648,-0.00503921,Thu Aug 21 15:58:10 2014,14.08.21 (14-09)TN_LG14_1-64_1_sb.csv,A11,OK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,B11,#N/A
