date,site,depth,depth_m,PO4_ugL
1/10/14,S087,Below ice,0.5,35.25510204
1/10/14,S087,1m,1,32.95918367
1/10/14,S087,B+1m,2.1,18.1122449
1/10/14,S087,B+0.5m,2.6,15.86734694
1/10/14,S087,Bottom,3.1,26.53061224
1/31/14,S087,Below ice,0.5,6.530612245
1/31/14,S087,1m,1,5.56122449
1/31/14,S087,B+1m,2.3,7.959183673
1/31/14,S087,B+0.5m,2.8,19.33673469
1/31/14,S087,Bottom,3.3,31.32653061
2/13/14,S087,Below ice,0.5,4.030612245
2/13/14,S087,1m,1,4.132653061
2/13/14,S087,B+1m,2.2,8.571428571
2/13/14,S087,B+0.5m,2.7,19.74489796
2/13/14,S087,Bottom,3.2,26.47959184
3/5/14,S087,Below ice,0.5,6.09375
3/5/14,S087,B+0.5m,2.8,15.26041667
3/5/14,S087,Bottom,3.3,16.66666667
3/19/14,S087,Below ice,0.5,4.183673469
3/19/14,S087,1m,1,4.030612245
3/19/14,S087,B+1m,2.1,3.979591837
3/19/14,S087,B+0.5m,2.6,4.489795918
3/19/14,S087,Bottom,3.1,14.33673469
4/3/14,S087,Below ice,0.5,40.04098361
4/3/14,S087,1m,1,41.31147541
4/3/14,S087,B+1m,2.1,41.39344262
4/3/14,S087,B+0.5m,2.6,39.83606557
4/3/14,S087,Bottom,3.1,23.44262295
4/25/14,S087,Surface,0.5,23.2112
4/25/14,S087,1m,1,18.6709
4/25/14,S087,B+1m,3.1,23.587475
4/25/14,S087,B+0.5m,3.6,20.615325
4/25/14,S087,Bottom,4.1,26.3142
