Lab ID/Bottle ID,Filtered ID,Site ID/site Name,Date Collected,Depth or BLANK,Date/Time Sampled,Date Received at JSC,TP Corrected,Units ,Nox Corrected,Units ,NH4 Corrected,Units ,TN Corrected,Units ,,,Date,Depth,TP-ugP/L,TP-sd,Nox Corrected,,NH4 Corrected,,TN-ugN/L,TN-sd
LG15-0001,LG15-0001-F,,1/15/15,D1,1/15/15,4/9/15,0.019809912,mg P/L,0.475605411,mg N/L,0.01897451,mg N/L,0.680858379,mg N/L,,,,,,,,,,,,
LG15-0005,LG15-0005-F,,1/15/15,D1,1/15/15,4/9/15,0.019334691,mg P/L,0.48382712,mg N/L,0.07277827,mg N/L,0.680284608,mg N/L,,MB,1/15/15,D1,19.57,0.34,479.72,5.81,45.88,38.05,680.57,0.41
LG15-0002,LG15-0002-F,,1/15/15,D2,1/15/15,4/9/15,0.041955193,mg P/L,0.466552293,mg N/L,0.057760063,mg N/L,0.791882969,mg N/L,,,,,,,,,,,,
LG15-0006,LG15-0006-F,,1/15/15,D2,1/15/15,4/9/15,0.037488119,mg P/L,0.469138898,mg N/L,0.06471804,mg N/L,0.762811931,mg N/L,,MB,1/15/15,D2,39.72,3.16,467.85,1.83,61.24,4.92,777.35,20.56
LG15-0003,LG15-0003-F,,1/15/15,D3,1/15/15,4/9/15,0.051839783,mg P/L,0.627753217,mg N/L,0.11941738,mg N/L,0.932552368,mg N/L,,,,,,,,,,,,
LG15-0007,LG15-0007-F,,1/15/15,D3,1/15/15,4/9/15,0.051839783,mg P/L,0.627198944,mg N/L,0.073467178,mg N/L,0.904246357,mg N/L,,MB,1/15/15,D3,51.84,0,627.48,0.39,96.44,32.49,918.4,20.02
LG15-0004,LG15-0004-F,,1/15/15,D4,1/15/15,4/9/15,0.076931432,mg P/L,0.818700099,mg N/L,0.021592363,mg N/L,1.187784608,mg N/L,,,,,,,,,,,,
LG15-0008,LG15-0008-F,,1/15/15,D4,1/15/15,4/9/15,0.071228785,mg P/L,0.76456615,mg N/L,0.229160516,mg N/L,1.223454007,mg N/L,,MB,1/15/15,D4,74.08,4.03,791.63,38.28,125.38,146.77,1205.62,25.22
LG15-0009,LG15-0009-F,,1/15/15,D5,1/15/15,4/9/15,0.082443992,mg P/L,0.70599802,mg N/L,0.223924811,mg N/L,1.261035974,mg N/L,,,,,,,,,,,,
LG15-0010,LG15-0010-F,,1/15/15,D5,1/15/15,4/9/15,0.084725051,mg P/L,0.634219729,mg N/L,0.213040055,mg N/L,1.366609745,mg N/L,,MB,1/15/15,D5,83.58,1.61,670.11,50.75,218.48,7.7,1313.82,74.65
