Cal Date,Jul Day,Location,Ice,Depth,Temp.,Cond.,DO,pH,Turb.,Chl-a,BGA,SRP,SRP_SD,DOP,DOP_SD,PP,PP_SD,TDP,TDP_SD,TP,TP_SD,NO3,DOC,Mn_02,Fe_02,Fe_coll,,Fe_45,Mn_45
,,,(m),(m),(°C),(µS/cm),(mg/l),,(NTU),(µg/l),(cells/ml),(µmol/kg),,,,,,,,,,(mg/l),(mgC/l),(µmol/kg),,,,,
1/15/18,15,Lake,0.34,0.4,0.4,118,14.3,6.8,3.5,2,21,0.14,0.04,,,,,,,0.63,0.01,0.5,3.55,0.26,,,,0.32,0.47
1/15/18,15,Lake,0.34,0.9,0.5,117.7,14.4,6.8,3.5,2.1,90,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.4,0.5,116,14.3,6.8,3.6,2.4,25,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.9,0.9,113,14.3,6.8,4.2,2.8,104,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.4,1.4,131,11.8,6.8,6.8,2.7,167,0.53,0.02,,,,,,,1.28,0.1,0.4,4.3,0.64,0.13,,0.2,0.33,0.85
1/15/18,15,Lake,0.34,2.6,1.8,147,9.5,6.7,8.8,2.7,266,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.9,2.2,184,8.6,6.7,8.9,3.2,313,0.71,0.02,,,,,,,1.67,0,0.6,5.4,1.94,0.15,,0.11,0.27,2.24
1/15/18,15,Lake,0.34,3.1,2.7,194,7.6,6.6,10.7,3.1,180,1.05,0.04,,,,,,,2.39,0.13,0.7,5.1,2.79,0.14,,0.12,0.26,3.07
1/15/18,15,Lake,0.34,3.4,3.3,,2.7,6.6,13.5,,,1.11,0.09,,,,,,,2.7,0.05,0.7,5.1,5.34,0.12,,0.13,0.25,6.06
2/4/18,35,Lake,0.54,0.9,0,70,17.5,7.8,2.3,4.5,702,0.24,0.09,0,0.09,0.19,0.03,0.17,0.02,0.36,0.03,0.6,3.67,0.26,0.03,,0.14,0.17,0.44
2/4/18,35,Lake,0.54,1.5,0.8,68.9,14,7.6,132.1,5.2,450,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,1.8,1.8,70.3,13.3,7.6,4.4,6.8,386,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,2.1,2.3,71.4,12.7,7.5,4.2,5.1,645,,,,,,,,,,,,,,,,,,
2/4/18,35,Lake,0.54,2.8,3.8,84.6,7.4,7.4,4.8,2.8,130,0.29,0.05,0.07,0.05,0.45,0.08,0.36,0,0.81,0.08,0.5,3.24,,,,,0.17,0.71
2/4/18,35,Lake,0.54,3,4.1,93.7,3.9,7.2,5.8,2.3,74,0.33,0.04,0,0.04,0.46,0.01,0.26,0.01,0.72,0.01,0.4,3.44,1.55,0.11,,0.09,0.19,1.6
2/4/18,35,Lake,0.54,3.2,4.2,96.8,3,7.2,5.9,2.6,207,0.53,0.03,0,0.05,0.52,0.14,0.48,0.04,1,0.13,0.4,4.27,,,,,0.36,3.14
2/4/18,35,Lake,0.54,3.5,4.4,101.2,1.5,7.1,6.7,2.7,435,0.92,0.05,0,0.05,0.76,0.06,0.91,0.02,1.67,0.06,0.3,4.03,9.37,0.11,,0.1,0.21,10.98
2/17/18,48,Lake,0.7,0.7,1,76.5,13.8,6.3,2,0.5,,0.19,0.03,0.05,0.04,0.19,0.16,0.24,0.01,0.43,0.16,0.63,1.87,0.58,0.06,,1.8,1.85,0.65
2/17/18,48,Lake,0.7,1.2,0.4,74.1,13.9,6.4,2,1,59,,,,,,,,,,,,,,,,,,
2/17/18,48,Lake,0.7,1.8,1.6,73.9,11.9,6.4,3.9,1.3,227,,,,,,,,,,,,,,,,,,
2/17/18,48,Lake,0.7,2.3,2.9,75.1,10,6.4,3.3,2,473,0.25,0,0.13,0.04,0.45,0.06,0.38,0.04,0.83,0.04,0.47,2.43,,,,,2.09,1.69
2/17/18,48,Lake,0.7,2.4,3.8,84.6,7.1,6.5,3.2,1.3,160,0.28,0.02,0.15,0.03,0.69,0.46,0.43,0.02,1.12,0.46,0.36,3.49,,,,,1.5,7.65
2/17/18,48,Lake,0.7,2.8,4,87.2,5.6,6.5,4.1,1.5,9,0.57,0.01,0.12,0.02,0.83,0.39,0.7,0.02,1.53,0.39,0.24,3.4,15.73,0.11,,2.05,2.15,16.76
2/17/18,48,Lake,0.7,3.1,4.5,95.2,2.8,6.6,24.6,0.8,217,0.59,0.03,0.27,0.15,0.98,2.08,0.86,0.14,1.84,2.08,0.17,3.46,23.81,0.09,,3.27,3.36,22.92
3/10/18,69,Lake,0.65,0.7,0.4,81.4,13.4,7.2,25.1,0.4,169,0.06,0.02,0.09,0.05,0.13,0.05,0.15,0.05,0.28,0,0.66,1.73,0.61,0.06,,1.92,1.97,0.7
3/10/18,69,Lake,0.65,1,0.2,79.6,13.4,7.1,62.2,0.1,16,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.3,0.3,79.9,13.3,7.2,25.8,,,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.6,0.8,81.1,11.8,7.2,2.8,0.4,53,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,1.9,1.9,84.1,7.2,7.1,3.9,0.7,183,0.5,0.02,0.14,0.02,0.42,0.13,0.64,0.01,1.06,0.13,0.21,2.63,,,,,3.11,22.08
3/10/18,69,Lake,0.65,2.1,2.5,85.4,5.1,7,3.8,,,,,,,,,,,,,,,,,,,,
3/10/18,69,Lake,0.65,2.4,3.1,88.3,3.5,7,3.8,0.8,167,0.34,0.02,0.1,0.04,0.35,0.08,0.45,0.04,0.79,0.07,0.31,2.23,,,,,2.2,11.32
3/10/18,69,Lake,0.65,2.7,3.9,91.5,2.1,7,3.8,0.9,240,0.48,0.06,0.17,0.07,0.37,0.1,0.66,0.03,1.03,0.09,0.21,2.67,24.76,0.08,,3.26,3.34,23.78
3/10/18,69,Lake,0.65,2.9,4.3,96,1.3,7,5.9,1,153,0.7,0.02,0.14,0.03,1.13,0.39,0.84,0.02,1.97,0.39,0.1,2.99,38.57,0.1,,3.88,3.98,38.57
3/19/18,78,Lake,0.67,0.6,1.4,93.2,12.8,6.9,5.5,1.2,3,1.03,0.01,0.33,0.01,0.66,0.09,1.37,0.01,2.02,0.09,0.76,3.39,0.88,0.42,,1.97,2.39,0.9
