Cal Date,Jul Day,Location,Ice,Depth,Temp.,Cond.,DO,pH,Turb.,Ch-a,BGA,SRP,SRP_SD,DOP,DOP_SD,PP,PP_SD,TDP,TDP_SD,TP,TP_SD,NO3,DOC,Mn_02,Fe_02,Fe_coll,,Fe_45,Mn_45
,,,(m),(m),(°C),(µS/cm),(mg/l),,(NTU),(µg/l),(cells/ml),(µmol/kg),,,,,,,,,,(mg/l),(mgC/l),(µmol/kg),,,,,
1/15/18,15,Lake,0.34,0.7,2.9,363.7,14.2,7.3,4.9,23,3077,0.03,0.03,,,,,,,0.79,0.05,0.1,6.95,0.01,0.02,0.11,0.12,0.02,
1/15/18,15,Lake,0.34,0.9,2.9,363.5,14.2,7.3,2.4,22.4,3744,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.2,2.9,,14.2,7.1,2.8,,,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.4,2.9,364,14.2,7.5,3.1,21.9,3818,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,1.8,2.9,,14.2,7.5,2.1,,,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2,2.9,364,14.2,7.6,1.9,21.5,3351,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.3,2.9,,14.2,7.6,2.7,23.3,2784,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,2.7,2.9,364,14.2,7.6,2.3,,,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,3,2.9,,13.7,7.6,2.1,21.7,2955,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,3.2,3.1,363.3,12.3,7.6,2.7,,,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,3.5,3.3,,7.4,7.5,1.8,10,4249,0.01,0,,,,,,,0.63,0.01,0.1,6.3,,,,0.07,0.06,
1/15/18,15,Lake,0.34,3.8,3.5,361.3,5.6,7.4,2.2,,,,,,,,,,,,,,,,,,,,
1/15/18,15,Lake,0.34,4.1,3.7,365.7,4.8,7.3,3.9,9.2,4221,0.02,0.02,,,,,,,0.7,0.01,0.1,6.45,0.12,<0.01,0.07,0.08,0.18,
1/15/18,15,Lake,0.34,4.4,3.8,370.3,4.4,7.3,2.4,9.8,5731,0.02,0.01,,,,,,,0.64,0.03,0.1,6.4,,,,0.08,0.34,
1/15/18,15,Lake,0.34,4.5,3.9,378,4.2,7.2,32.8,11.6,9561,0.04,0.03,,,,,,,0.86,0.05,0.1,6.7,0.08,0.02,0.06,0.08,0.1,
2/6/18,37,Lake,0.44,0.5,2.8,199.2,14.1,6.8,3,22.7,7411,0.11,0.03,0.42,0.06,0.82,0.06,0.53,0.05,1.35,0.03,0.2,11.25,0.02,<0.01,0.09,0.1,0.04,
2/6/18,37,Lake,0.44,0.9,2.9,196.1,14.5,7.3,2.7,21.4,5842,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,1.4,3.4,198.5,14.3,7.4,2.8,20.4,3487,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,1.8,3.6,199.5,14,7.5,3,18.9,2762,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,2.3,3.7,200.4,12.3,7.4,1.9,,,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,2.7,3.8,201.6,12.3,7.4,1.7,15.6,2349,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,2.9,3.8,202.7,12.7,7.4,2.5,16.4,2350,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,3.3,3.8,203.3,12.5,7.4,2.5,18.3,2022,,,,,,,,,,,,,,,,,,
2/6/18,37,Lake,0.44,3.8,3.9,204.9,11.3,7.4,2.2,,,0.04,0.02,0.29,0.05,0.3,0.09,0.33,0.05,0.63,0.08,0.1,9.63,,,,0.1,0.21,
2/6/18,37,Lake,0.44,4.2,4.1,209.7,7,7.3,2.8,18,2882,0.06,0.01,0.24,0.01,0.39,0.03,0.3,0.01,0.69,0.03,0.1,8.6,1.24,<0.01,0.04,0.05,1.42,
