site,date,yday,ice_depth,depth,samp_depth_cat,samp_depth_cat2,NH4,NO3,TN,SRP,DOP,PP,TDP,TP,temp,cond,DO,pH,turb,chla,BGA
mb,2014-01-10,10,0.45,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,68,13.59,8.57,6.2,1.6,1110
mb,2014-01-10,10,0.45,0.5,D1,Top,4.961007853216249,40.80534397087171,59.34753052045406,0.03525510204,NA,NA,NA,1.3308409633886484,0.01,55,13.69,7.75,6.7,1.7,465
mb,2014-01-10,10,0.45,0.5,D1,Top,5.082942742914257,40.48537288498608,60.22568565717141,NA,NA,NA,NA,1.3786413120681862,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,1,D2,Mid-1,5.576779039051903,41.608992146783756,61.619122010423354,0.03295918367,NA,NA,NA,1.3180942080454574,0.02,54,13.73,7.34,7.3,1.6,389
mb,2014-01-10,10,0.45,1,D2,Mid-1,4.753718569286785,36.132278432212466,63.09239059041908,NA,NA,NA,NA,1.2830406469942532,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,55,13.74,7.08,9.9,1.6,102
mb,2014-01-10,10,0.45,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,55,13.73,7.17,9.3,1.7,160
mb,2014-01-10,10,0.45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,57,13.78,6.99,11.2,1.6,180
mb,2014-01-10,10,0.45,2.1,D3,Mid-2,4.400107446276861,40.61931427143571,72.41099585921324,0.0181122449,NA,NA,NA,0.7126233292438819,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,2.1,D3,Mid-2,3.857497179981438,42.50937581209395,72.6504927536232,NA,NA,NA,NA,0.7954772389746239,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,63,13.63,6.92,7.2,1.4,213
mb,2014-01-10,10,0.45,2.6,D4,Mid-3,5.558488827015064,34.591952737916756,56.3284185050332,0.01586734694,NA,NA,NA,0.8145973719894104,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,2.6,D4,Mid-3,5.442650674662668,35.7527778967659,58.846764332119655,NA,NA,NA,NA,0.8528376380189837,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-10,10,0.45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,66,13.28,6.91,5.5,1.4,35
mb,2014-01-10,10,0.45,3.1,D5,Bottom,6.405936246162633,32.69444998929107,62.932725994145784,0.02653061224,NA,NA,NA,1.267107186672693,3.12,70,9.49,7.11,17.6,2,667
mb,2014-01-10,10,0.45,3.1,D5,Bottom,6.119389305347327,33.09627414863997,54.92046726636682,NA,NA,NA,NA,1.3053474527022664,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-31,31,NA,0.5,D1,Top,2.814953880202756,48.3358253016349,61.698954237167136,0.006530612245,NA,NA,NA,0.7444902176018596,0.54,64,13.82,6.25,1.4,1.4,1481
mb,2014-01-31,31,NA,1,D2,Mid-1,2.4308589990718925,47.18244127936032,58.71612964946098,0.00556122449,NA,NA,NA,0.3270339639697811,0.82,63,13.79,6.2,1.8,1.7,153
mb,2014-01-31,31,NA,1,D2,Mid-1,2.784470193474691,41.177403298350825,57.60573513243378,NA,NA,NA,NA,0.26330018725382576,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-31,31,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,63,13.84,6.16,1.7,1.4,-100
mb,2014-01-31,31,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,62,13.8,6.4,1.7,1.4,188
mb,2014-01-31,31,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,62,13.74,6.75,1.9,1.6,207
mb,2014-01-31,31,NA,2.3,D3,Mid-2,3.1015008924109377,37.858633825944175,53.70121046619548,0.007959183673,NA,NA,NA,0.33659401433460323,NA,NA,NA,NA,NA,NA,NA
mb,2014-01-31,31,NA,2.3,D3,Mid-2,2.8332441636324694,32.724214749767974,54.02053965874206,NA,NA,NA,NA,0.3174738813198166,NA,NA,NA,NA,NA,NA,NA
