"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-01","30","2","27"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-02","36","23","26"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-03","37","26","31"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-04","39","29","29"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-05","45","24","44"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-06","54","34","34"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-07","36","25","25"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-08","34","15","17"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-09","30","14","25"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-10","37","25","33"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-11","33","16","17"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-12","27","4","4"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-13","18","-2","14"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-14","16","-12","-10"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-15","17","-10","17"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-16","22","3","5"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-17","11","-21","-21"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-18","16","-22","15"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-19","29","9","21"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-20","32","20","28"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-21","31","20","27"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-22","32","23","28"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-23","28","24","26"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-24","28","15","15"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-25","15","-8","4"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-26","16","4","16"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-27","25","16","23"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-28","31","12","31"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-29","34","30","30"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-30","33","19","19"
"USC00432773","ENOSBURG FALLS 2, VT US","2013-12-31","20","-11","-5"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-01","13","-5","6"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-02","12","-14","-13"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-03","-5","-13","-9"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-04","-5","-25","-11"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-05","24","-11","19"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-06","44","19","43"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-07","46","10","10"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-08","10","5","9"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-09","16","8","14"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-10","23","-2","1"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-11","41","1","41"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-12","53","36","36"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-13","37","28","28"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-14","50","27","42"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-15","43","29","29"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-16","44","27","27"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-17","30","19","20"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-18","36","13","22"
"USC00432773","ENOSBURG FALLS 2, VT US","2014-01-19","43","22","26"
