"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-01","32","38","28"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-02","32","38","28"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-03","35","43","29"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-04","33","39","25"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-05","40","54","30"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-06","43","51","35"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-07","32","35","25"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-08","25","29","22"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-09","28","37","26"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-10","33","37","23"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-11","24","29","17"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-12","15","19","7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-13","16","19","2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-14","4","11","-2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-15","16","22","7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-16","11","15","-4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-17","1","17","-11"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-18","18","28","13"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-19","29","38","26"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-20","32","35","21"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-21","25","30","22"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-22","24","29","21"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-23","27","29","22"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-24","18","22","7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-25","7","16","0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-26","19","28","16"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-27","27","31","17"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-28","30","35","19"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-29","36","42","29"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-30","24","36","3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2013-12-31","7","20","3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-01","12","15","-3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-02","-7","-3","-11"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-03","-8","-3","-15"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-04","0","22","-15"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-05","26","34","22"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-06","38","51","20"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-07","15","20","6"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-08","10","17","7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-09","17","24","11"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-10","23","35","14"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-11","39","52","34"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-12","43","47","37"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-13","38","49","31"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-14","44","46","38"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-15","38","45","30"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2014-01-16","31","32","26"
