site,year,samp_depth_cat2,analyte,estimate_(Intercept),estimate_yday,std.error_yday,statistic_yday,p.value_yday,r.squared,adj.r.squared,nobs
mb,2014,Mid-2,NO3,3.766,-0.006,0.002,-3.484,0.013,0.669,0.614,8
mb,2014,Mid-3,NO3,3.666,-0.007,0.002,-4.673,0.002,0.732,0.698,10
mb,2014,Bottom,TN,4.081,-0.002,0.001,-2.326,0.048,0.403,0.329,10
mb,2015,Mid-1,NO3,3.944,-0.015,0.005,-2.946,0.026,0.591,0.523,8
mb,2015,Mid-2,NO3,4.013,-0.015,0.002,-8.923,0,0.93,0.918,8
mb,2015,Mid-3,NO3,4.369,-0.027,0.003,-9.225,0,0.934,0.923,8
mb,2015,Bottom,NH4,2.523,0.013,0.001,10.192,0,0.945,0.936,8
mb,2015,Bottom,NO3,4.271,-0.034,0.002,-15.408,0,0.975,0.971,8
mb,2015,Bottom,TN,4.544,-0.008,0.002,-3.314,0.016,0.647,0.588,8
sp,2015,Mid-2,NH4,2.008,0.013,0.003,4.508,0.004,0.772,0.734,8
sp,2015,Mid-2,NO3,2.474,-0.012,0.002,-6.952,0,0.89,0.871,8
sp,2015,Mid-3,NH4,2.069,0.011,0.004,3.003,0.024,0.601,0.534,8
sp,2015,Mid-3,NO3,2.349,-0.01,0.001,-9.81,0,0.951,0.941,7
sp,2015,Mid-3,TN,4.009,0.004,0.001,2.601,0.041,0.53,0.452,8
sp,2015,Bottom,NH4,1.855,0.016,0.003,5.68,0.001,0.843,0.817,8
sp,2015,Bottom,NO3,2.125,-0.005,0.001,-4.277,0.005,0.753,0.712,8
